Stellar Settlers: Space Base Builder,City Builder  Colony Sim  Base Building  Resource Management,21,420
Adventuring With Matilda!,Casual  RPG  2D  Anime,44,688
NBA 2K25 MyTEAM Bonus Offer: Season 5,Simulation  Sports,69,595
NBA 2K25 MyCAREER Bonus Offer: Season 5,Simulation  Sports,69,12
NBA 2K25 Hall of Fame Pass: Season 5,Sports  Simulation  Basketball  eSports,69,380
Longvinter,Multiplayer  Survival  Crafting  Open World,44,174
Blood Typers,Survival Horror  Online Co-Op  Typing  Procedural Generation,33,467
Cabernet,Singleplayer  Female Protagonist  Simulation  Story Rich,66,471
Like a Dragon: Pirate Yakuza in Hawaii,Action  Adventure  RPG  Pirates,239,680
Stories from Sol: The Gun-Dog,Retro  Sci-fi  Multiple Endings  Visual Novel,50,517
Avowed,RPG  Fantasy  Singleplayer  First-Person,299,608
Microtopia,Colony Sim  Automation  Procedural Generation  Resource Management,66,958
Lost Records: Bloom & Rage,LGBTQ+  Choices Matter  Female Protagonist  1990's,134,800
Tiny Pasture,Farming Sim  Idler  Cute  Clicker,19,727
Flash Doll,Anime  Colorful  Stylized  Action,28,567
The Legend of Heroes: Trails through Daybreak II,RPG  Action  Adventure  JRPG,224,490
Mind Over Magic,Survival  Building  Colony Sim  Management,92,596
Urban Myth Dissolution Center,Adventure  Visual Novel  Singleplayer  2D,60,248
Sid Meier's Civilization VII,Strategy  Turn-Based Strategy  4X  Grand Strategy,279,340
Door Kickers 2: Task Force North,Tactical  Top-Down  Real-Time with Pause  Real Time Tactics,92,920
A Game About Digging A Hole,Exploration  Voxel  Sandbox  Mining,18,438
Keep Driving,Pixel Graphics  Atmospheric  Adventure  Inventory Management,66,180
Kingdom Come: Deliverance II,RPG  Medieval  Open World  Singleplayer,239,415
The Sims™ 25th Birthday Bundle,Simulation  Sandbox  Life Sim  Building,0,568
Foundation,City Builder  Simulation  Medieval  Strategy,131,878
FlyKnight,Dungeon Crawler  First-Person  Souls-like  Online Co-Op,21,288
Marvel's Spider-Man 2,Action  Superhero  Open World  Singleplayer,239,624
The Headliners,Online Co-Op  Horror  Action  Co-op,29,909
Hello Kitty Island Adventure,Cozy  Open World  Simulation  Adventure,149,27
NINJA GAIDEN 2 Black,Action  Martial Arts  Third Person  Ninja,187,289
Monster Hunter Wilds,Hunting  Action  Multiplayer  Co-op,279,998
Counter-Strike 2,FPS  Shooter  Multiplayer  Competitive,0,565
Kingdom Come: Deliverance II,RPG  Medieval  Open World  Singleplayer,239,646
Steam Deck,No tags found,0,622
PUBG: BATTLEGROUNDS,Survival  Shooter  Battle Royale  Multiplayer,0,469
Marvel Rivals,Free to Play  Multiplayer  Hero Shooter  Third-Person Shooter,0,952
Sid Meier's Civilization VII,Strategy  Turn-Based Strategy  4X  Grand Strategy,279,565
Apex Legends™,Free to Play  Battle Royale  Multiplayer  FPS,0,807
Avowed,RPG  Fantasy  Singleplayer  First-Person,299,877
War Thunder,Free to Play  Simulation  Vehicular Combat  Combat,0,674
Dota 2,Free to Play  MOBA  Multiplayer  Strategy,0,653
Like a Dragon: Pirate Yakuza in Hawaii,Action  Adventure  RPG  Pirates,239,117
Warframe,Free to Play  Action RPG  Looter Shooter  Third-Person Shooter,0,921
NBA 2K25,Sports  Basketball  Simulation  eSports,279,369
HELLDIVERS™ 2,Online Co-Op  PvE  Third-Person Shooter  Multiplayer,159,325
Path of Exile 2,Action RPG  Hack and Slash  RPG  Souls-like,111,301
The Outlast Trials,Horror  Multiplayer  Co-op  Survival Horror,59,505
ARK: Survival Ascended,Early Access  Survival  Open World  Multiplayer,99,136
Sea of Thieves: 2024 Edition,Multiplayer  Open World  Adventure  Pirates,209,256
Dead by Daylight,Horror  Multiplayer  Survival Horror  Online Co-Op,29,70
EA SPORTS FC™ 25,Sports  Simulation  Football (Soccer)  Controller,158,371
The Elder Scrolls® Online,RPG  MMORPG  Open World  Fantasy,85,953
PGA TOUR 2K25,Sports  Golf  Simulation  Realistic,279,744
Tom Clancy's Rainbow Six® Siege,FPS  PvP  eSports  Multiplayer,79,390
Rust,Survival  Crafting  Multiplayer  Open World,145,248
Baldur's Gate 3,RPG  Character Customization  Choices Matter  Story Rich,269,265
Fallout 76,Open World  Multiplayer  Post-apocalyptic  Dark Comedy,172,732
ELDEN RING,Souls-like  Open World  Dark Fantasy  RPG,249,425
